SN.ITK.VITA.ZS;Vitamin A supplementation coverage rate (% of children ages 6-59 months)
SP.ADO.TFRT;Adolescent fertility rate (births per 1,000 women ages 15-19)
SP.DTH.INFR.ZS;Completeness of infant death reporting (% of reported infant deaths to estimated infant deaths)
SP.DTH.REPT.ZS;Completeness of total death reporting (% of reported total deaths to estimated total deaths)
SP.DYN.AMRT.FE;Mortality rate, adult, female (per 1,000 female adults)
SP.DYN.AMRT.MA;Mortality rate, adult, male (per 1,000 male adults)
SP.DYN.CBRT.IN;Birth rate, crude (per 1,000 people)
SP.DYN.CDRT.IN;Death rate, crude (per 1,000 people)
SP.DYN.CONU.ZS;Contraceptive prevalence (% of women ages 15-49)
SP.DYN.IMRT.IN;Mortality rate, infant (per 1,000 live births)
SP.DYN.LE00.FE.IN;Life expectancy at birth, female (years)
SP.DYN.LE00.IN;Life expectancy at birth, total (years)
SP.DYN.LE00.MA.IN;Life expectancy at birth, male (years)
SP.DYN.TFRT.IN;Fertility rate, total (births per woman)
SP.DYN.TO65.FE.ZS;Survival to age 65, female (% of cohort)
SP.DYN.TO65.MA.ZS;Survival to age 65, male (% of cohort)
SP.DYN.WFRT;Wanted fertility rate (births per woman)
SP.HOU.FEMA.ZS;Female headed households (% of households with a female head)
SP.MTR.1519.ZS;Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)
SP.POP.0014.TO.ZS;Population ages 0-14 (% of total)
SP.POP.1564.TO.ZS;Population ages 15-64 (% of total)
SP.POP.65UP.TO.ZS;Population ages 65 and above (% of total)
SP.POP.DPND;Age dependency ratio (% of working-age population)
SP.POP.DPND.OL;Age dependency ratio, old (% of working-age population)
SP.POP.DPND.YG;Age dependency ratio, young (% of working-age population)
SP.POP.GROW;Population growth (annual %)
SP.POP.TOTL;Population, total
SP.POP.TOTL.FE.ZS;Population, female (% of total)
SP.REG.BRTH.RU.ZS;Completeness of birth registration, rural (%)
SP.REG.BRTH.UR.ZS;Completeness of birth registration, urban (%)
SP.REG.BRTH.ZS;Completeness of birth registration (%)
SP.UWT.TFRT;Unmet need for contraception (% of married women ages 15-49)
